Name,Outlook
Sammy Watkins,"Injuries have limited Watkins to 21 games over the past two seasons, leaving the super-talented wideout as one of the most intriguing post-hype targets in fantasy this season. During his career, the 2014 first-round pick is averaging 7.8 targets per game (27 percent share) in the 32 games he's played at least 70 percent of the pass play snaps. Watkins was fantasy's No. 6 wide receiver during the 11 weeks that fit that bill in 2015. He was limited to 28 receptions for 430 yards and two touchdowns over eight games last season. Watkins turns 24 this summer and is in line for a massive workload again this season. He's a fine WR2 target, but will hope for a big step forward from Jared Goff."
Mark Ingram,"Ingram brushed aside durability concerns by appearing in 16 games for only the second time in his career last season. The 27-year-old has now finished as a top-15 fantasy back in three consecutive seasons, registering at least 4.6 YPC and 46 receptions during each of the past two years. In fact, Ingram's 5.1 YPC was ninth best in the NFL last season. Ingram remains the lead back in New Orleans' high-scoring offense, but will share carries with Adrian Peterson and passing-down work with rookie Alvin Kamara. He's a back-end RB2."
Frank Gore,"Gore dodged Father Time yet again in 2016 and has finished as a top-21 fantasy back in 11 consecutive seasons. The 34-year-old hasn't missed a game since 2010. Gore was limited to four rushing scores on 263 carries (seventh) last season, but he made up for it with a career-high four touchdown catches. Gore finished 12th at the position in fantasy points, but he was limited to two top-10 fantasy weeks and averaged 1.49 yards after contact per attempt, his lowest mark since we began tracking in 2009. Gore has very little upside, but he's still positioned for a high-volume role in a productive Colts offense."
Pierre Garcon,"Garcon joins the 49ers this year after arguably the best season of his career. He caught a career-high 71 percent of his targets (16th best) and posted a 9.4 yards per target (11th) in Washington last year. Garcon's biggest statistical issue has been touchdowns. In nine years, he has yet to find the end zone more than six times in a season. Since 2009, he ranks eighth in the NFL in targets (902) but 20th in end zone targets (65). Garcon has finished a season better than 23rd among receivers in fantasy points only once (11th in 2013) and required an NFL-high 176 targets to get there. Garcon is now 30 years old but sports sure hands (three drops in three years) and won't be short on targets as the 49ers' top wideout. He's in the WR3 discussion, especially in PPR."
Stefon Diggs,"Minnesota found a gem in Diggs in the fifth round of the 2015 draft, but the 23-year-old's fantasy production has been capped by the team's conservative offense. Last season, Diggs caught 84 passes (14th most) in only 13 games thanks to a 76 percent catch rate (fifth best). Despite the heavy usage, Diggs accrued only 903 yards and three touchdowns. He finished 31st at the position in fantasy points and managed only five top-30 fantasy weeks. Diggs is a terrific player who might eventually break out in fantasy stardom, but in the meantime, he's essentially a poor man's Jarvis Landry in Minnesota's low-scoring offense."
Martavis Bryant,"Bryant has been on the field for at least 70 percent of the Steelers' pass plays during 12 of his 24 career games (11 of which came in 2015). During those 12 showings, he handled 9.5 targets per game (25 percent share). Bryant ranked 10th among wideouts in fantasy points during the weeks he was a full go in 2015, and he scored eight touchdowns and ranked 20th during the 10 weeks he was active as a rookie. Bryant was suspended all of last season, but has been reinstated and is all systems go for 2017. The 6-foot-4 deep threat has WR2 upside in Pittsburgh's high-scoring offense."
Brandon Marshall,"Marshall is now 33 years old and coming off of his worst statistical season since his 2006 rookie campaign. He joins the Giants, with whom he'll be positioned for a major role in an offense that had at least three wide receivers on the field for an NFL-high 97 percent of its pass plays last season. Marshall's target share might dip, but he figures to remain very busy near the goal line. He's ranked seventh or higher among wide receivers in end zone targets nine of the past 10 years, and he paces the entire NFL in the category over the past decade (180). Marshall's age is a concern, but he'll see enough work in this offense to allow fringe WR3 production."
Matt Ryan,"The Falcons' offense absolutely exploded during Kyle Shanahan's second season calling the plays and although Shanahan is off to San Francisco, we shouldn't expect anything more than some regression to the mean. Ryan enjoyed a career-best season in 2016, ranking second in passing yards, passing touchdowns and fantasy points. He averaged an absurd 9.26 yards per attempt, which is the best we've seen in the NFL since Kurt Warner hit 9.88 in 2000. Ryan benefited from the league's most help after the catch (6.2 RAC) and second-lowest drop rate (2.8 percent), but his superb accuracy (fourth or better in off-target percentage each of the past five years) and the presence of Julio Jones will allow him to post another strong fantasy season."
Mike Gillislee,"Gillislee didn't last long in Miami after they selected him with a fifth-round pick back in 2013, but he resurrected his career during his time in Buffalo. Gillislee made a good first impression by averaging 5.7 YPC on 47 carries in 2015 and was actually able to match that mark on 101 attempts last season. He also scored a whopping nine touchdowns on 110 touches. Although he's played well, Gillislee has benefited from exceptional blocking. He was allowed 4.8 yards before contact per attempt in 2015, and his 3.9 rate in 2016 was second highest in the NFL. Gillislee was snatched up by New England as a restricted free agent and is positioned as the team's early-down and goal line replacement for LeGarrette Blount. Gillislee won't match Blount's 18 touchdowns from last season, but he has double-digit touchdown upside and can do more as a receiver."
Theo Riddick,"The season-ending injury to Ameer Abdullah forced Riddick into a larger-than-anticipated role last season. Although Riddick was productive in fantasy, it was mostly due to his dominance as a receiver and in spite of his struggles as a rusher. Riddick has averaged 3.5 YPC on 164 career carries, including only 1.5 yards after contact. Of course, the return of Abdullah will allow Riddick to settle back into his happy place as one of the game's top receiving backs. Even after missing six games last year, he ranks second in targets (163), first in receptions (133), second in receiving yards (1,068) and tied for first in receiving touchdowns (8) among backs over the past two years. The 26-year-old is a fringe RB2 who should be downgraded in non-PPR."
Willie Snead,"Snead is yet another example of Drew Brees' raising a relative unknown to fantasy relevance. Snead went undrafted in 2014 and made his NFL debut in 2015. He's posted a pair of top-34 fantasy campaigns over the past two seasons despite scoring a grand total of seven touchdowns. Of Snead's 103 targets last season, an NFL-low 5.8 percent were charted as off target. Snead's scoring deficiencies and short-area role led to a 7.4 average depth of target (10th lowest) and allowed only three top-20 fantasy weeks. Of course, with Brandin Cooks gone, Snead is again assured a big role in 2017. He's a solid WR3 who should be downgraded in non-PPR."
Paul Perkins,"The Giants selected Perkins in the fifth round of the 2016 draft, and following the offseason release of Rashad Jennings, Perkins is positioned for a larger role in his second year. Perkins, of course, will need to earn the Giants' lead back role after a pedestrian rookie campaign. He averaged 4.1 YPC, 1.6 of which came after contact, and per Pro Football Focus, he forced only 10 missed tackles (0.09 rate, ranked 10th worst). Perkins faced a league-low average of 6.57 defenders in the box. Of course, there's still a lot to like about a player who is only 22 years old and was extremely elusive during his time at UCLA. He shouldn't have much trouble fending off Wayne Gallman, Shaun Draughn and Shane Vereen for carries."
Spencer Ware,"Ware has certainly come a long way since being drafted as a fullback in the sixth round of the 2013 draft before eventually being waived. Operating as Kansas City's lead back last year, Ware ranked 16th at the position in rushing yards and sixth in receiving yards. During the 12 games he played in full, Ware handled a hefty 16.2 carries and 3.1 targets per game. He ranked ninth at the position in fantasy points during those weeks. Ware is again positioned for a significant role in Andy Reid's running back-friendly offense, but he'll need to fend off intriguing rookie Kareem Hunt. The 25-year-old is a fringe RB2 with 10-touchdown upside."
Ameer Abdullah,"Detroit's 2015 second-round pick, Abdullah accrued 597 yards on 143 carries (4.2 YPC) as a rookie and was impressive over a small sample in 2016, with 18 carries for 101 yards (5.6 YPC, 3.2 YAC) before suffering a season-ending foot injury early in the season. Abdullah is a near-lock to share Detroit's backfield with passing-down specialist Theo Riddick and, to a lesser extent, short-yardage back Zach Zenner. It's realistic, though, that the shifty Abdullah will emerge into feature-back duties. He is only 23 years old and makes for a terrific post-hype target."
Adrian Peterson,"A torn meniscus limited Peterson to three games last season, which means he has now failed to eclipse 40 touches during two of the past three years. Of course, bookended by those two seasons was a 2015 campaign in which Peterson racked up 1,707 yards and 11 touchdowns on 357 touches. Peterson has scored double-digit touchdowns during all eight seasons other than the aforementioned 2014 and 2016 disasters. Of course, now 32 years old and sharing backfield duties with Mark Ingram and Alvin Kamara in New Orleans, Peterson won't come close to the 325 touches he averaged during his 'full' seasons in Minnesota. He's a flex option who offers little as a receiver and should thus be upgraded slightly in non-PPR. "
C.J. Anderson,"Anderson's disappointing 2016 campaign ended prematurely after he tore his meniscus in Week 7. It was bad timing, as Anderson was coming off one of his best games of the year, which included a highlight-reel catch-and-run touchdown called back on an irrelevant penalty. Nonetheless, Anderson averaged a career-worst 4.0 YPC, including 1.5 after contact, which is an area he found had a ton of success in earlier in his career. Anderson will need to fend off both Devontae Booker, who struggled mightily in his place last season, and injury-plagued Jamaal Charles for snaps this season. The 26-year-old is a fine post-hype target, but may struggle to receive more than a dozen touches per game."
Delanie Walker,"Walker has flourished since joining the Titans. He's posted a top-11 fantasy season each of his four seasons with the team, including a top-five finish in each of the past two years. Walker's targets, receptions and yardage fell off significantly from 2015 to 2016, but he set career highs with eight end zone targets and seven touchdowns. Walker turns 33 this year and has missed exactly one game each of the past four seasons, but he's one of the league's best two-way tight ends and a big part of Tennessee's passing game. He's a high-floor TE1."
Russell Wilson,"Limited by injuries throughout 2016, Wilson failed to finish as a top-10 fantasy quarterback for the first time in his career. Wilson tossed 21 touchdowns (second lowest of his career) and rushed for a career-low 259 yards on 72 carries. On the plus side, Seattle leaned more on its passing game, which allowed Wilson a career-high 4,219 passing yards (10th in the NFL). He's finished no worse than 11th in yards per attempt and no lower than third in carries among quarterbacks during each of his five pro seasons. Wilson's low fantasy ceiling (just six top-10 weeks) and massive bust rate (seven weeks outside the top 20) are red flags, but Wilson will certainly be a rebound candidate at full health in 2017."
Robert Kelley,"Kelley went undrafted last year, but by midseason he had taken over as Washington's workhorse back. A 220-pound bruiser, Kelley played more than 13 percent of the team's snaps for the first time in Week 8. From that point on, he appeared in nine games, was on the field for 54 percent of the team's offensive snaps and handled 74 percent of the designed runs (16.8 per game) and 6 percent of the targets (1.9 per game). Only 14 running backs scored more fantasy points in that span. For the year, Kelley averaged 2.2 yards after contact (ninth best). Kelley will compete for early-down duties with rookie Samaje Perine and defer passing-down duties to Chris Thompson. He's barely in the RB2 discussion in non-PPR leagues."
Jimmy Graham,"Graham spent last offseason recovering from a torn patellar tendon, which raised questions as to whether or not he'd ever return to his All-Pro form. Graham, who turns 31 this year, put those concerns to rest by appearing in all 16 of Seattle's games and posting career highs in yards per target (9.8) and yards after catch (5.0). Graham was limited to six touchdowns, but paced the position with 13 end zone targets. Graham posted his fifth top-four fantasy season in six years and will be even healthier entering 2017. He's a strong TE1 option."
Kyle Rudolph,"It didn't take Rudolph long to become Sam Bradford's favorite target last season. The veteran tight end paced all tight ends with 128 targets and ranked top four in receptions, yards, touchdowns and end zone targets (11). Rudolph finished second at the position in fantasy points, his best ranking since he landed 11th in 2012. As for sustainability, consider that tight ends have accounted for a 24 percent target share during Vikings offensive coordinator Pat Shurmur's 122 games as a head coach or coordinator since 2009. Rudolph shouldn't have much trouble repeating his 22 percent target share, which will help him finish as a top-10 fantasy tight end."
DeSean Jackson,"The Buccaneers entered the offseason eyeing a speed complement to Mike Evans, and they certainly found one in Jackson. Last season in Washington, Jackson posted the fifth 1,000-yard campaign of his career. He averaged 17.9 yards per catch, and he has finished top-10 in that category in six of his eight seasons. Of course, there are two concerns here: touchdowns and durability. Jackson has eclipsed six touchdowns in a season twice in his career and has scored exactly four touchdowns during his past two campaigns. He's also missed at least one game during seven of his nine NFL seasons, including eight during the past two years. Nonetheless, Jackson is explosive enough to warrant WR3 consideration."
Eric Decker,"During his three seasons with the Jets, there were 31 games in which Decker was on the field for at least two-thirds of the team's pass plays. He averaged 8.3 targets per game (26 percent share) during that span. Decker posted a trio of top-15 fantasy campaigns during the four seasons leading up to a 2016 that was derailed by shoulder and hip injuries. Decker's consistency in 2015 was nothing short of incredible: He finished all 15 of his starts as a top-35 fantasy receiver. Now with the emerging Titans, the perpetually underrated Decker will compete for targets with Corey Davis, Rishard Matthews and Delanie Walker. The 30-year-old is best viewed as a flex option."
Jeremy Maclin,"Maclin handled 8.4 targets per game (31 percent share) during the 14 games he was on the field for at least two-thirds of the team's pass plays during his first season (2015) with the Chiefs. He played 12 such games last season, but his targets fell to 6.5 per game (20 percent share). The emergence of Tyreek Hill was obviously a factor, but Maclin's play also fell off a bit. He posted career-low marks in targets, receptions, yards, touchdowns, yards per reception, yards per target and yards after catch. Maclin turned 29 this year, so age isn't a factor yet, and he's a decent bet to lead the Ravens in targets."
Cameron Meredith,"Meredith went undrafted in 2015, but joined Chicago as an intriguing 6-foot-3, 215-pound converted quarterback. He played sparingly as a rookie and was a nonfactor during the first four weeks of 2016. Promoted into an every-down role in Week 5, he was targeted 12 times and led the NFL with 27 targets during Weeks 5-6. Meredith averaged a healthy 7.3 targets per game (21 percent share) during the 12 games in which he played at least 40 percent of the pass play snaps; only 17 receivers scored more fantasy points after Week 4. Alshon Jeffery is gone, leaving Kevin White, Kendall Wright and Markus Wheaton as Meredith's competition for snaps. He's positioned well for flex production."
LeGarrette Blount,"Blount had some highlight moments during his time with New England, but it all came together for a career year in 2016. The perpetually underrated big man ran for a league-high 18 touchdowns during 16 regular-season games. Of his 299 carries, an NFL-high 24 came inside the opponent's 5-yard line. Blount averaged 3.9 YPC but faced a league-high average of 8.3 in-box defenders. Blount is now 30 years old and has never eclipsed 15 receptions in a season. Now in Philadelphia, Blount will slide in as the team's primary early down and short-yardage back, but won't see many targets. He's best-viewed as a flex and should be upgraded in non-PPR."
Duke Johnson Jr.,"Johnson has spent most of the first two seasons of his career dominating as a pass-catcher, but he quietly took a sizable step forward as a rusher last season. The Miami product improved his 3.6 rookie-season YPC to 4.9, which was 12th best in the league. Since entering the league via the third round of the 2015 draft, Johnson ranks fourth among backs in receptions (114) and third in receiving yards (1,048) but has caught only two touchdowns. Johnson's lack of scoring (three in two years) has limited him to a grand total of one top-10 fantasy week. Johnson enters 2016 as the passing-down complement to Isaiah Crowell, but it's still possible the 23-year-old eventually jumps Crowell on the depth chart."
DeVante Parker,"Parker took a step forward during his second NFL season, but the 2015 first-round pick has yet to emerge into a reliable go-to receiver and drew criticism from head coach Adam Gase during the offseason. Parker (6-foot-3) was limited to four touchdowns and seven end zone targets last year. He managed one top-10 fantasy week and two additional top-20 outings. Parker is only 24 years old and has shown flashes, but he remains a speculative midround fantasy pick. His upside makes him well worth your attention on draft day."
Donte Moncrief,"Moncrief has finished his three NFL seasons ranked 79th, 36th and, most recently, 75th at the position in fantasy points. The former third-round pick failed to post a single weekly fantasy finish better than 14th (his only top 20), and he was extremely touchdown dependent last year. Moncrief scored exactly one touchdown in seven of his nine games and finished the other two weeks 110th among fantasy receivers. He averaged an underwhelming 6.1 targets per game, and he's ranked in the bottom 15 percent at the position in yards per target each of the past two years. Of course, Moncrief is still only 23 years old and has a ton of fantasy upside as Andrew Luck's No. 2 target. His underwhelming usage and effectiveness are red flags, but he's worth post-hype flex consideration."
Andrew Luck,"Luck, 27, has struggled with injuries (10 missed games during the past two seasons) and a poor supporting cast, but he has still managed plenty of fantasy production when active. He has finished as a top-four fantasy quarterback during three of the past four seasons. Last season, he ranked eighth in passing yards, fifth in passing touchdowns and seventh in rushing yards among quarterbacks. He averaged 7.8 yards per attempt, which was fifth best in the league. AFC South defenses are improving, but Luck is one of the league's most talented and highly efficient passers and works in a pass-first offense. He's a top-end QB1 option."
Kenny Britt,"Britt joins the Browns after what was, by far, the best season of his career. With the Rams last year, Britt set career highs in targets and receptions and reached 1,000 yards for the first time in eight seasons. Los Angeles' horrible passing game limited him to five touchdowns, but Britt still finished 29th at the position in PPR fantasy points in 15 games of work. He averaged a healthy 9.1 yards per target and is the only player in the NFL to rank top-18 in the category each of the past three years. Cleveland's offensive woes will limit Britt's fantasy upside, but he's a good player and will see enough work to allow flex production."
Eddie Lacy,"The combination of Lacy's weight struggles and high-end effectiveness have suddenly turned him into one of the league's most-polarizing players. Before going down with an ankle injury last season, Lacy averaged 5.1 YPC (10th), including 2.8 after contact (second), and he forced one missed tackle for every 0.27 carries (second), according to Pro Football Focus. Lacy has averaged at least 4.1 YPC during each of his four NFL campaigns, including at least 4.6 YPC during two of those seasons. He forced missed tackles at a high rate, was terrific after contact during his four years in Green Bay and now heads to Seattle, where he'll settle in as the early-down complement to C.J. Prosise. Lacy adds very little as a receiver but has double-digit touchdown upside in a quality Seattle offense."
Tevin Coleman,"Coleman was Atlanta's third-round pick in 2015, but Devonta Freeman's dominant play has kept him from fully emerging. Coleman has been terrific in his own right, especially as a pass-catcher. He totaled 11 touchdowns on only 149 touches last season, and though that is far from sustainable, he averaged 4.4 YPC and 13.6 YPR. Coleman's upside will be limited as long as Freeman is on the field, but he has some stand-alone flex appeal and is one of the most valuable handcuffs in fantasy."
Mike Wallace,"Following a rough 2015 in Minnesota, Wallace enjoyed a bit of a bounce back in Baltimore's pass-heavy offense last season. Wallace reached 1,000 receiving yards for the first time since 2011, and ended up with his sixth top-25 fantasy season over the past seven years. Despite his success and the retirement of Steve Smith, it's fair to expect Wallace's efficiency to take a step back in 2017. His catch rate (64 percent), yards per target (9.0) and yards-after-catch average (5.8) were all well above his norms over the past half-decade. His targets also took a dive from 8.0 per game in the first half of last season to 6.1 in the second half. The 31-year-old is best viewed as a flex option."
Terrance West,"West joined Baltimore late during the 2015 season after failing to emerge during stints with Cleveland, which drafted him in the third round of the 2014 draft, and Tennessee. West racked up 1,010 yards and six scores in 227 touches in 2016 but progressively ceded snaps to Kenneth Dixon and Kyle Juszczyk as the season went on. West has proved to be a replacement-level back, but the 26-year-old will play an expanded role this season with Kenneth Dixon on IR."
Adam Thielen,"Thielen went undrafted in 2014 and totaled 20 receptions during his first two NFL seasons, so his breakout 2016 season was certainly a surprise. Thielen (6-foot-2, 200 pounds) turns 27 this year and is coming off a campaign in which he caught 74 percent of his targets (ranking seventh), averaged 10.4 yards per target (fifth) and dropped only one of 93 targets. Thielen's 2016 production was extremely boom/bust -- two top-seven fantasy weeks and three additional top-30 outings -- but he has clearly emerged as Minnesota's top perimeter receiver. He's a quality flex target."
James White,"White has quickly emerged as one of the game's premier pass-catching backs. Prior to racking up 139 yards and three touchdowns against Atlanta in the Super Bowl, White finished third among backs in targets, receptions and receiving yards during the regular season. He paces all backs with nine receiving touchdowns over the past two seasons. White's fantasy upside is capped by a near-nonexistent role as a rusher (career-high 39 carries last season) and he'll face competition for snaps from Dion Lewis and newcomers Mike Gillislee and Rex Burkhead. White is only a flex option in PPR formats."
Cam Newton,"Needless to say, 2016 was a disappointing season for Newton. One year after posting 45 more fantasy points than any other player, Newton fell to 17th at the position. He posted just five top-10 fantasy weeks, and only three after Week 2. Newton's completion percentage dipped to a league-worst 53 percent and he was off target on 21.8 percent of his throws (second worst), although in fairness his 10.6 average depth of throw was tops in the NFL. Newton posted career lows in carries (90) and rushing yards (359), and his five rushing scores were half his 2015 total. Newton is still only 27 and thus is a rebound candidate in an offense that quietly led on 45 percent of its plays last season (fifth highest). The additions of Christian McCaffrey and Curtis Samuel figure to add to the offense's efficiency."
Tyrell Williams,"Season-ending injuries to both Keenan Allen and Stevie Johnson forced Williams into a significant offensive role last season. The 2015 undrafted free-agent signing took the promotion in stride, ranking 15th at the position in receiving yards and 14th in touchdowns. Williams dropped six balls but was otherwise very efficient. He averaged 9.2 yards per target (15th) and 6.6 yards after the catch (fifth). Williams finished half of his outings as a top-20 non-PPR fantasy receiver, which was the fifth-best rate at the position. Williams' usage is sure to take a big hit this season with Allen back and No. 7 overall pick Mike Williams now in the mix. Tyrell is a fast 6-foot-4 receiver who is still on the rise at the age of 25, but he's unlikely to see enough targets to warrant flex consideration."
Matt Forte,"Forte spent most of his first season in New York as the Jets' lead back, but he went down with a knee injury in Week 14 and Bilal Powell quickly proved to be a more effective back. Forte averaged 3.7 YPC, including 1.5 after contact, both of which were his worst marks since 2009. He finished a career-worst 21st at the position in fantasy points and has now missed five games because of injury over the past two seasons. Forte is now 31 years old and on the short end of a committee in what is likely to be one of the league's lowest-scoring offenses."
Kareem Hunt,"Hunt isn't the most explosive back, but his tape shows a versatile player who is extremely hard to bring down. Per Pro Football Focus, the 5-foot-10, 216-pound back forced an FBS-best 100 missed tackles on 303 touches during the 2016 season. In turn, he ended up as the site's highest-graded FBS running back. Despite a high 4.6 average depth of target, he caught 93 percent of his targets. Hunt is a potential three-down back at the NFL level and landed in a terrific situation in Andy Reid's running back-friendly offense. Hunt will start out behind Spencer Ware, but he's one injury away from flirting with RB1 numbers."
Zach Ertz,"Ertz has finished fifth in targets and top nine in fantasy points at the tight end position each of the past two seasons. He's shown terrific hands (10 drops) in his career, but has really struggled to find the end zone. Since entering the league in 2013, Ertz ranks seventh in targets (362) and 17th in touchdowns (13) at the position. On the plus side, he set a career-high with nine end-zone targets (fifth-most in the NFL among TEs) last year. The tight end position has been extremely busy (minimum 27 percent target share) during head coach Doug Pederson's seasons as a coach and coordinator, but Ertz's role figures to be reduced after the team's signings of Alshon Jeffery and Torrey Smith. Ertz is a back-end TE1."
Darren McFadden,"An arm injury limited McFadden to three games last season, but Dallas brought the 29-year-old back as Ezekiel Elliott's direct backup. Working behind Dallas' offensive line in 2015, McFadden accrued 1,417 yards on 279 touches. Working as the lead back from Weeks 7-17 that year, he averaged the same carry share and a slightly larger target share than Elliott did in 2016. This is important considering Elliott's six-game suspension to begin 2017. McFadden is the heavy favorite for lead back duties and on the RB1 radar. He'll revert to a high ceiling handcuff upon Elliott's return in Week 8."
Kirk Cousins,"Cousins' breakout 2015 campaign saw him finish 10th in the league in passing yards (4,166), eighth in yards per attempt (7.7) and eighth in fantasy points. He was even better last season, ranking third in yards (4,915), third in YPA (8.1) and fifth in fantasy points. Cousins has a reputation for being too conservative, but his 8.9 average depth of throw was ninth highest in the league in 2016. He's shown good accuracy and quietly ranks third at the position with nine rushing scores over the past two years. Cousins will be without Pierre Garcon and DeSean Jackson this season, but he's still sitting pretty with Jordan Reed, Terrelle Pryor Sr., Jamison Crowder and Josh Doctson."
Doug Martin,"Martin's 2016 season was a disaster from all angles. He entered the year off a 1,673-yard bounce-back campaign that landed him a five-year, $35.75 million extension. He went on to appear in only eight games due to injury and suspension and posted a 2.9 YPC (fourth worst). Of course, in his defense, Martin was afforded 1.1 yards before contact per attempt, which was second lowest in the NFL and down from 2.8 in 2015. Martin has now missed at least five games during three of the past four years and averaged 3.7 YPC or worse during those three seasons. He's also suspended three games to start 2017 and is thus worth no more than a mid-round pick."
Rishard Matthews,"Matthews was fantasy's No. 22 scoring wide receiver last year (No. 15 in non-PPR), but he was actually a part-time player until midseason. Matthews was on the field for 62 percent of Tennessee's pass plays during his first seven games, but 95 percent from that point on. Matthews handled 4.9 targets per game (16 percent share) during the first stretch and 8.0 (28 percent) during the remainder of the season. Matthews is a poor bet to repeat his touchdown total of nine, especially with Corey Davis and Eric Decker in the mix, but he's an underrated and reliable target who can work on all areas of the field. He's a solid late-round target."
Darren Sproles,"The ageless Sproles announced last year that 2017 would be his last in the NFL. He's coming off yet another strong campaign in which he caught at least 40 passes for the eighth consecutive season. That includes at least 52 receptions during each of the past two years and six of the past seven seasons. After posting a 3.8 YPC in 2015, Sproles bounced back to 4.7 (17th) last year. Sproles will spend his final season handling 10 or so touches per game as a complement to Wendell Smallwood and rookie Donnel Pumphrey."
C.J. Prosise,"Seattle selected Prosise in the third round of last year's draft with the expectation that he'd handle change-of-pace and passing-down duties. A converted wide receiver, he was limited to 47 touches as a rookie because of injuries but was impressive when called upon. Prosise averaged 5.7 YPC on 30 carries and hauled in all but one of his 18 targets for 208 yards. The 23-year-old clocked a 4.48 40-yard dash at 6-feet, 220 pounds last year and has tremendous playmaking and receiving ability. He figures to push for 8-10 touches as a complement to Eddie Lacy and/or Thomas Rawls, but there's upside here."
Giovani Bernard,"Bernard had racked up 673 yards and three touchdowns on 130 touches before suffering a season-ending torn ACL in Week 11 last season. He was averaging a career-worst 3.7 YPC, but he was well on his way to another strong PPR campaign. He finished 20th at the position in receptions in 10 games after finishing top 12 each of the previous three seasons. Bernard doesn't score many touchdowns and lacks upside as a result of his role, but he certainly does enough to warrant flex consideration. The ACL recovery and the progress of rookie Joe Mixon will determine how much we can expect from Bernard in 2017. "
Jonathan Stewart,"Stewart had a quality 2016 campaign for Carolina, although a lot of his fantasy success was tied to touchdowns. He ranked fifth among backs in carries inside the opponent's 5-yard line (16) and was eighth in rushing touchdowns (9). He was limited to 3.8 YPC, but only 1.9 of that came before initial contact (15th lowest). Stewart offers close to nothing as a pass-catcher, recording just eight receptions for 60 yards last season. That's a major detriment to his fantasy production. His offseason contract extension suggests he'll maintain a role in 2017, but Christian McCaffrey is now the fantasy back to own in Carolina. At best, Stewart is a touchdown-dependent flex in non-PPR leagues."
Thomas Rawls,"Rawls' career has been quite the roller coaster thus far. He went undrafted out of Central Michigan in 2015, but Seattle scooped him up and watched him produce 830 yards and four touchdowns on 147 rookie-season carries. That 5.6 YPC was tops in the NFL, and his 2.7 post-contact average ranked third. A laundry list of injuries limited Rawls to nine games last season and, although his 3.2 YPC during the regular season was ugly, he did explode for 195 yards on 38 postseason attempts. Rawls is only 23 years old but figures to open 2017 behind Eddie Lacy and passing-down specialist C.J. Prosise. Rawls' flashes of upside make him worth a late-round flier."
Tyler Eifert,"Eifert has been a disappointment since being selected in the first round of the 2013 draft, but his issues have been with durability, not on-field play. Eifert has yet to play a full 16-game season and has missed 26 games (41 percent) of the Bengals' 64 regular season games since 2013. Despite missing 11 games in the past two years, Eifert has racked up 18 touchdowns (most at the position) and 19 end zone targets (third most) during the span. He posted a top-10 fantasy week during 54 percent of his appearances in 2015 (seventh highest) and 63 percent last season (second highest). Eifert's touchdown production is hard to count on long term, and his durability is a major concern, but he's a big part of a Bengals offense likely to rebound this season. He's a quality TE1 and will be available at a discount on draft day."
Jordan Matthews,"Matthews scored eight touchdowns and ranked as a top-25 fantasy wide receiver during each of his first two seasons in the NFL. The wheels fell off last year, though, as he missed a pair of games due to injury and scored only three times despite a career-high 11 end zone targets. He posted only four top-30 fantasy weeks en route to finishing 44th at the position in points. Traded to Buffalo, Matthews is the best bet to lead the team in targets. He's still a flex option, but he has a limited upside as a short-area, slot target who has struggled on the perimeter. "
Corey Coleman,"Coleman was the first wide receiver selected in the 2016 draft, but a broken hand limited him to 10 games. The Baylor product averaged 6.9 targets per game (22 percent share) and was on the field for 92 percent of Cleveland's pass plays when active. Coleman was used often as a deep threat; his 13.6 average depth target ranked 13th among receivers. He caught 48 percent of balls thrown his way (sixth worst) and averaged 6.0 yards per target (10th worst). Coleman's rookie campaign was obviously a disappointment, but he's only 23 years old and locked into an every-down role opposite Kenny Britt. He'll need to be on your radar in the middle rounds."
Corey Davis,"The wide receiver-needy Titans selected Davis with the fifth-overall pick in April's draft. Davis found the end zone 19 times, averaged 10.9 yards per target and caught 71 percent of his targets during a dominant final campaign at Western Michigan. The 22-year-old combines great size (6-foot-3, 209 pounds) with terrific route running. He obviously had plenty of success near the goal line, and his big frame will lead to a significant amount of work in that area at the NFL level. Davis has little blocking experience, but he can line up in all of the formations and make plays downfield. Tennessee's run-first offense hurts his upside, but Davis is good enough and will play enough to push for WR3 numbers as a rookie. "
Randall Cobb,"Cobb is only 26 years old and a top-three target in Green Bay's Aaron Rodgers-led offense, but he simply can't be trusted as any more than a flex after two consecutive disappointing seasons. Cobb finished eighth among wide receivers in fantasy points in 2014, but fell to 26th in 2015 and 52nd (in 13 games) last season. Cobb has posted two top-10 fantasy weeks over the past two seasons. Cobb's efficiency has been fine -- he caught 74 percent of his targets (ranking eighth) and averaged 6.0 yards after the catch (ninth) last year -- but his role (6.5-yard average depth of target) limited him to a career-low 10.2 yards per catch (10th lowest). Downgrade Green Bay's slot receiver slightly in non-PPR."
Jacquizz Rodgers,"A longtime complementary back, Rodgers flourished as a lead back in place of Doug Martin down the stretch last season. Rodgers set career highs in carries (129), rushing yards (560), yards per carry (4.3) and yards after contact per attempt (2.0), the latter of which ranked 14th in the league. He ranked eighth at the position in fantasy points during the five weeks in which he played at least 60 percent of the Bucs' snaps. Rodgers will open 2017 in a good spot as the early-down complement to Charles Sims and will later need to fend off Doug Martin once Martin returns from a three-game suspension."
